Trial,Judgment
t3_a3b3c3_(1 1 0)_1,0.723333
t3_a3b3c3_(1 1 0)_1,0.6112
t3_a3b3c3_(1 1 0)_1,0.68
t3_a3b3c3_(1 1 0)_1,0.333333
t3_a3b3c3_(1 1 0)_1,0.563333
t3_a3b3c3_(1 1 0)_1,0.79
t3_a3b3c3_(1 1 0)_1,0.0
t3_a3b3c3_(1 1 0)_1,0.506667
t3_a3b3c3_(1 1 0)_1,0.588333
t3_a3b3c3_(1 1 0)_2,0.39
t3_a3b3c3_(1 1 0)_2,0.00333333
t3_a3b3c3_(1 1 0)_2,0.0
t3_a3b3c3_(1 1 0)_2,0.0
t3_a3b3c3_(1 1 0)_2,0.508333
t3_a3b3c3_(1 1 0)_2,0.0
t3_a3b3c3_(1 1 0)_2,0.0
t3_a3b3c3_(1 1 0)_2,0.333333
t3_a3b3c3_(1 1 0)_2,0.0
t3_a3b3c3_(1 1 0)_2,1.0
t3_a3b3c3_(1 1 0)_2,0.0
t3_a3b3c3_(1 1 0)_2,0.0966667
t3_a3b3c3_(1 1 0)_2,0.106133
t3_a3b3c3_(1 1 0)_2,0.683333
t3_a3b3c3_(1 1 0)_2,0.19
t3_a3b3c3_(1 1 0)_2,0.0233333
t3_a3b3c3_(1 1 0)_2,0.19
t3_a3b3c3_(1 1 0)_2,0.0394444
t3_a3b3c3_(1 1 0)_2,0.506667
t3_a3b3c3_(1 1 0)_2,0.0
t3_a3b2c2_(0 1 1)_0,1.0
t3_a3b2c2_(0 1 1)_0,1.0
t3_a3b2c2_(0 1 1)_0,1.0
t3_a3b2c2_(0 1 1)_0,1.0
t3_a3b2c2_(0 1 1)_0,1.0
t3_a3b2c2_(0 1 1)_0,0.718933
t3_a3b2c2_(0 1 1)_0,0.833333
t3_a3b2c2_(0 1 1)_0,0.793889
t3_a3b2c2_(0 1 1)_0,1.0
t3_a3b2c2_(0 1 1)_0,0.963889
